result,xG,player,year
0.0,0.14831422,Christian Eriksen,2014
0.0,0.022930028,Andros Townsend,2014
0.0,0.05960085,Lewis Holtby,2014
0.0,0.032910544,Nabil Bentaleb,2014
0.0,0.035851642,Erik Lamela,2014
0.0,0.20201667,Emmanuel Adebayor,2014
1.0,0.26928142,Nacer Chadli,2014
0.0,0.08604509,Emmanuel Adebayor,2014
0.0,0.055021156,Christian Eriksen,2014
0.0,0.05580643,Nacer Chadli,2014
0.0,0.03792338,Nabil Bentaleb,2014
0.0,0.14523946,Christian Eriksen,2014
1.0,0.17552263,Nacer Chadli,2014
0.0,0.23946674,Emmanuel Adebayor,2014
0.0,0.030758616,Erik Lamela,2014
0.0,0.23296356,Christian Eriksen,2014
0.0,0.019604698,Christian Eriksen,2014
1.0,0.25999954,Emmanuel Adebayor,2014
0.0,0.039113384,Erik Lamela,2014
0.0,0.025705688,Younes Kaboul,2014
0.0,0.046262376,Nacer Chadli,2014
0.0,0.13909978,Emmanuel Adebayor,2014
0.0,0.15337446,Nacer Chadli,2014
0.0,0.051547676,Emmanuel Adebayor,2014
0.0,0.07067805,Emmanuel Adebayor,2014
0.0,0.12948208,Danny Rose,2014
0.0,0.094769545,Emmanuel Adebayor,2014
0.0,0.3273566,Emmanuel Adebayor,2014
0.0,0.020410452,Christian Eriksen,2014
0.0,0.023650913,Mousa Dembélé,2014
0.0,0.021054951,Christian Eriksen,2014
0.0,0.026641611,Erik Lamela,2014
0.0,0.071022086,Erik Lamela,2014
0.0,1.3399064e-13,Harry Kane,2014
0.0,0.08523945,Emmanuel Adebayor,2014
0.0,0.07506906,Christian Eriksen,2014
0.0,0.069408014,Younes Kaboul,2014
0.0,0.06328644,Nacer Chadli,2014
0.0,0.16055664,Roberto Soldado,2014
0.0,0.08492268,Emmanuel Adebayor,2014
0.0,0.06755804,Nacer Chadli,2014
0.0,0.14475225,Emmanuel Adebayor,2014
0.0,0.062102206,Christian Eriksen,2014
1.0,0.16746533,Nacer Chadli,2014
0.0,0.028414384,Ryan Mason,2014
0.0,0.059571087,Jan Vertonghen,2014
0.0,0.034401637,Christian Eriksen,2014
0.0,0.03751152,Erik Lamela,2014
1.0,0.0785971,Christian Eriksen,2014
0.0,0.12637626,Nacer Chadli,2014
0.0,0.07260501,Nacer Chadli,2014
0.0,0.08369282,Eric Dier,2014
0.0,0.03155861,Ryan Mason,2014
0.0,0.25076264,Ryan Mason,2014
1.0,0.105365194,Christian Eriksen,2014
0.0,0.076442726,Christian Eriksen,2014
0.0,0.022289177,Christian Eriksen,2014
0.0,0.23003876,Erik Lamela,2014
0.0,0.11448961,Ryan Mason,2014
0.0,0.02328135,Etienne Capoue,2014
0.0,0.016311573,Etienne Capoue,2014
0.0,0.021508848,Etienne Capoue,2014
0.0,0.021551833,Nacer Chadli,2014
0.0,0.115649015,Christian Eriksen,2014
0.0,0.027317816,Andros Townsend,2014
0.0,0.025864819,Jan Vertonghen,2014
0.0,0.03366706,Christian Eriksen,2014
0.0,0.09539588,Nacer Chadli,2014
1.0,0.32916996,Emmanuel Adebayor,2014
0.0,0.037440654,Danny Rose,2014
0.0,0.016394703,Ryan Mason,2014
0.0,0.028238725,Etienne Capoue,2014
0.0,0.15949602,Nacer Chadli,2014
0.0,0.18314183,Christian Eriksen,2014
0.0,0.019200277,Christian Eriksen,2014
0.0,0.037959967,Christian Eriksen,2014
0.0,0.316164,Harry Kane,2014
0.0,0.06138554,Christian Eriksen,2014
0.0,0.034340516,Eric Dier,2014
0.0,0.036011733,Aaron Lennon,2014
0.0,0.16174573,Roberto Soldado,2014
0.0,0.027632482,Roberto Soldado,2014
0.0,0.12738557,Christian Eriksen,2014
0.0,0.21933427,Christian Eriksen,2014
0.0,0.19312124,Roberto Soldado,2014
0.0,0.032465614,Younes Kaboul,2014
0.0,0.5711877,Younes Kaboul,2014
0.0,0.18006723,Emmanuel Adebayor,2014
0.0,0.036692582,Nacer Chadli,2014
0.0,0.45077765,Emmanuel Adebayor,2014
0.0,0.07816124,Harry Kane,2014
0.0,0.021029856,Erik Lamela,2014
0.0,0.026138185,Erik Lamela,2014
1.0,0.191972,Nacer Chadli,2014
0.0,0.011291422,Ryan Mason,2014
0.0,0.34121498,Harry Kane,2014
0.0,0.024468714,Andros Townsend,2014
0.0,0.04751058,Christian Eriksen,2014
0.0,0.026452681,Ryan Mason,2014
0.0,0.062058367,Andros Townsend,2014
0.0,0.14927976,Harry Kane,2014
0.0,0.015719675,Etienne Capoue,2014
0.0,0.070942625,Erik Lamela,2014
1.0,0.15775606,Nacer Chadli,2014
0.0,0.025785713,Ryan Mason,2014
0.0,0.09672875,Harry Kane,2014
0.0,0.033923957,Roberto Soldado,2014
0.0,0.03094633,Erik Lamela,2014
0.0,0.12427759,Christian Eriksen,2014
0.0,0.06985055,Harry Kane,2014
0.0,0.04263556,Erik Lamela,2014
0.0,0.01621281,Eric Dier,2014
0.0,0.0076553877,Christian Eriksen,2014
0.0,0.09343978,Harry Kane,2014
0.0,0.008053877,Mousa Dembélé,2014
0.0,0.043424036,Federico Fazio,2014
0.0,0.3468543,Roberto Soldado,2014
0.0,0.0892287,Christian Eriksen,2014
1.0,0.35013923,Harry Kane,2014
0.0,0.04543782,Jan Vertonghen,2014
0.0,0.26967406,Roberto Soldado,2014
0.0,0.48472086,Harry Kane,2014
0.0,0.020339506,Ryan Mason,2014
0.0,0.17367463,Erik Lamela,2014
1.0,0.07365497,Christian Eriksen,2014
1.0,0.20806368,Christian Eriksen,2014
0.0,0.013882676,Ryan Mason,2014
0.0,0.06972283,Harry Kane,2014
1.0,0.09324209,Roberto Soldado,2014
0.0,0.018572483,Roberto Soldado,2014
0.0,0.03121862,Harry Kane,2014
0.0,0.04670436,Christian Eriksen,2014
0.0,0.03831498,Ryan Mason,2014
0.0,0.016258124,Vlad Chiriches,2014
0.0,0.064623475,Christian Eriksen,2014
0.0,0.02723924,Jan Vertonghen,2014
0.0,0.12947343,Harry Kane,2014
0.0,0.12939087,Harry Kane,2014
0.0,0.02751377,Erik Lamela,2014
0.0,0.021740051,Nabil Bentaleb,2014
0.0,0.018384123,Christian Eriksen,2014
0.0,0.015535457,Jan Vertonghen,2014
0.0,0.02167854,Nabil Bentaleb,2014
0.0,0.031883985,Christian Eriksen,2014
0.0,0.2461136,Roberto Soldado,2014
0.0,0.043802787,Harry Kane,2014
0.0,0.12749693,Roberto Soldado,2014
0.0,0.0964493,Roberto Soldado,2014
0.0,0.027069982,Harry Kane,2014
0.0,0.021053754,Christian Eriksen,2014
0.0,0.22423705,Paulinho,2014
0.0,0.02537084,Nabil Bentaleb,2014
0.0,0.058257014,Nacer Chadli,2014
0.0,0.030862002,Roberto Soldado,2014
1.0,0.10236612,Harry Kane,2014
0.0,0.024672767,Erik Lamela,2014
0.0,0.031051474,Harry Kane,2014
0.0,0.021250676,Christian Eriksen,2014
1.0,0.16185631,Christian Eriksen,2014
0.0,0.061050583,Ryan Mason,2014
0.0,0.14771211,Christian Eriksen,2014
0.0,0.049634974,Harry Kane,2014
0.0,0.030477777,Harry Kane,2014
0.0,0.02469105,Ryan Mason,2014
