h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
1.0,0.272001807655613,0.43421725432074204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2672395901914129,0.3573300631308035,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3236356008479766,0.10168483767161152,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.08199999832525517,1.2561876390012234,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.11909661943457123,0.7241031719264834,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2285431997251843,0.5087033035978088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2944571403701302,0.12639085441109854,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0710211399467572,1.2641197762578245,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.06242593487462686,1.5223053768778003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2372614706982705,0.30449956662554056,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.2548666397527114,0.4291970083011314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.30083220094025764,0.3175329137939349,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.18483506334261693,0.6152176500675143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.2822144263718525,0.4186879225408956,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.08221924329064513,1.2452043001835247,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.28347135153506,0.35071112404962634,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.18670300204086263,0.5310806319358947,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1586442264962294,0.6334561006149511,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.12836278775229795,0.8156256648171444,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.1424254062233694,0.6558983138069464,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2778488655104245,0.4228539457874423,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.3203404226825268,0.31294479410679193,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.1673230237989182,0.684717622730744,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.18344752558747157,0.45330625881509534,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.20241046461411996,0.4144440549025121,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.196328833035684,0.5852900947743556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.30213404614846406,0.3919170426833535,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.1860779066283965,0.2680103803970064,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.2733093078971241,0.19496546052120567,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.18856562087953893,0.6096772856007722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1513803262442923,0.5994782882179575,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.17394823830313905,0.5845668114887105,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.24955959193988192,0.42616518516566326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.22398657778989894,0.2928155476883406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.13928388277184123,0.7790288227787854,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.32701378658524827,0.338326474011283,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2490080473185451,0.4728844849883074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3190814808788193,0.24197452391363872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.25457809566056816,0.45412719421118375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.06609844056568775,1.469424959910743,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.16414933620833771,0.03596632863939386,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2652244146233631,0.283421242345121,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.167904746526864,0.17389256091127803,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.33776919494343505,0.2324865486248887,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.22553937668844587,0.46577782856668454,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1055888184465225,0.6715666983498059,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.09786212814091079,1.0699945125000068,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.12593650828839636,0.8816363182778568,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.26031134136990897,0.4388994475593632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.07547186199588062,1.304367827942981,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.13660526171446108,0.5731173511950934,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
