h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
0.0,0.17976931807443597,0.44456783485841156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2871167037489378,0.2955155327342516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.20961866797094958,0.541075515980576,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.2668651518029782,0.43814895449680735,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.24635140393590685,0.45542334612814256,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.08209747326921003,1.2619051734559428,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.08300602525649639,0.8466620632682725,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.19200257355237094,0.6057557563178586,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.28600700972709986,0.39801923099801456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.15021648653982794,0.30064675445396083,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.23576474105039488,0.49346514147266834,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.16400304065769988,0.6610461467618497,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.08507053975742492,1.2127476584911876,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.11314592320965575,0.8127667788353035,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.27963008510722037,0.3214569505448356,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.12287394886207956,0.8215127232157354,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.29784559082128464,0.3588015686833573,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.11303096569764944,0.963331837004022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.24822972182386605,0.27612198076766525,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.20554805802541892,0.13272108269378502,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.11043551038106018,0.729178290785379,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.16383528574300676,0.4806754403490606,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1630491032505299,0.7050682757455304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.22454400611272948,0.17255137458846992,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.11280516336947373,0.9348455690070699,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.18427152502240343,0.3062950842106258,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.2071182934280194,0.5636838937263926,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.093771028891529,1.1352731495228838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.28900174530452744,0.40940420964778224,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.29928245869377024,0.3320092773548571,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.2857009264574816,0.39095825907210646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2814604575535624,0.3102018819833908,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.20611891419799744,0.4436502457424966,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.9744562583303498,0.12255846223236995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.10673333081212481,1.0126579472221133,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
